Filtered results,
Marker,pValue,tStat
PVV4,6.428988059459534e-07,-5.188309529630492
CRY2,2.4262763543555026e-08,-5.87483982689129
AXR-1,2.0136336168684738e-07,-5.4392389365165865
HH.335C,3.930498142671092e-06,-4.783000290937254
DF.162L,2.7009063046519382e-06,-4.868818409264599
BH.147L,1.1009154518327999e-05,-4.541829686537234
EC.480C,8.22981159897571e-06,-4.610832776104285
EC.66C,0.0003879549256600328,-3.6264402659621755
GD.86L,7.123997160938972e-05,-4.080788272742605
g2395,0.0005033840401869605,-3.5524452425010415
CH.160L,0.0006556512476883049,-3.477168207544368
AD.121C,0.019636513215206965,-2.357399659559438
AD.106L,0.015021687318862754,-2.4589114261892844
FD.222L,0.0407326988960447,2.0631704874429397
CH.65C,0.0387099276141354,2.0846480514114134
BF.221L,0.017085736906085586,2.410349508283185
FD.150C,0.04371160244608508,2.033145530471555
Erecta,0.04293671834653252,2.0407834453848945
BH.120L,0.035594685744454055,2.1196892653051527
DF.140C,0.01764475761515212,2.398138672850812
T2N18,0.011723320415012409,2.5500100685747036
T6A23,0.0106078246885444,2.5861495595771338
EG.357C,0.017173862887443093,2.408401279198262
F4I1,0.0008928929806581706,3.3866524659429498
MSAT2.22,0.0021967750865264576,3.11330133447413
nga151,0.018846720551155344,2.37300193007773
DF.231C,0.021117898324293147,2.3291402442282663
DF.184L,0.005533032328530637,2.81291078281457
GH.473C,0.001756081921217413,3.183257431098571
GH.121L,0.0025566096993449214,3.0657978900629463
AD.129L,0.006011935963955586,2.785241271686132
HH.480C,0.0020458335925094854,3.13589149774745
GB.235C,0.023245234263111803,2.2918148185946796



Unfiltered results
Marker,pValue,tStat
PVV4,6.428988059459534e-07,-5.188309529630492
CRY2,2.4262763543555026e-08,-5.87483982689129
AXR-1,2.0136336168684738e-07,-5.4392389365165865
HH.335C,3.930498142671092e-06,-4.783000290937254
DF.162L,2.7009063046519382e-06,-4.868818409264599
BH.147L,1.1009154518327999e-05,-4.541829686537234
EC.480C,8.22981159897571e-06,-4.610832776104285
EC.66C,0.0003879549256600328,-3.6264402659621755
GD.86L,7.123997160938972e-05,-4.080788272742605
